asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
HB0025,HB0025,HB0025,,Huabo Biopharm (Huaota),,medium,prior_knowledge,,,unknown,,,,non-small cell lung cancer | clear cell renal cell carcinoma | endometrial cancer | solid tumors,non-small cell lung cancer | solid tumor | clear cell renal cell carcinoma | non-squamous non-small cell lung cancer | endometrial cancer | squamous non-small cell lung cancer | breast cancer,phase 3,phase 3,phase 3,active,unknown,,,,6,4,"{""UNKNOWN"": 2, ""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 2, ""ENROLLING_BY_INVITATION"": 1}",NCT04678908,NCT07383116,NCT04678908|NCT06222125|NCT06758557|NCT07360132|NCT07376629|NCT07383116,,Target/mechanism not confidently recalled; leaving blank rather than guessing.
HB0028,HB0028,HB0028,,Huabo Biopharm (Huaota),Hangzhou,medium,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT06223308,NCT06223308,NCT06223308,,Same sponsor family as HB0045 above; specific target/modality not confidently recalled.
HB0030,HB0030,HB0030,,Huabo Biopharm (Huaota),Suzhou,medium,prior_knowledge,,,unknown,,,,solid tumor|tumor,solid tumor | tumor,phase 1,phase 1,phase 1,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05706207,NCT05706207,NCT05706207,,"HB-prefixed = Huabo Biopharm, a Suzhou biologics company with a bispecific-antibody pipeline (e.g. HB0025/HB0036 PD-1/VEGF); HB0030's exact target not confidently recalled."
HB0034,HB0034,HB0034,,Huabo Biopharm (Huaota),,medium,prior_knowledge,IL-36R (presumed),"presumed anti-IL-36R antibody, based on generalized pustular psoriasis indication",monoclonal antibody,,,,generalized pustular psoriasis,generalized pustular psoriasis,phase 2/3,phase 2/3,phase 2/3,active,unknown,,,,5,3,"{""COMPLETED"": 2, ""RECRUITING"": 3}",NCT05064345,NCT06716151,NCT05064345|NCT05512598|NCT06231381|NCT06477536|NCT06716151,,"Exact corporate identity behind HB0034 is not confidently recalled beyond the input seed guess; target/mechanism is an inference from the GPP indication (IL-36 pathway is the dominant mechanism class for GPP, e.g. spesolimab-like agents), not specific recall of this molecule."
HB0036,HB0036,HB0036,,Huabo Biopharm (Huaota),Shanghai,medium,prior_knowledge,,likely bispecific antibody (inferred),bispecific/multispecific antibody,,,,advanced solid tumors | non-small cell lung cancer,advanced solid tumors | non-small cell lung cancer,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT05417321,NCT05417321,NCT05417321,,HB-prefix codes are associated with Hua Biologics (Huabo/Huaota) of Shanghai; exact target of HB0036 not confidently recalled.
HB0043,HB0043,HB0043,,Huabo Biopharm (Huaota),"Chengdu, Sichuan (candidate)",medium,prior_knowledge,IL-17A x IL-36R,bispecific antibody targeting IL-17A and IL-36R,bispecific/multispecific antibody,,,,hidradenitis suppurativa | acne vulgaris,hidradenitis suppurativa | acne vulgaris,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,3,3,"{""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 1}",NCT06895499,NCT07449156,NCT06895499|NCT06999083|NCT07449156,,"Target/mechanism explicit from trial title. HB-prefix associated with Huabo Biopharm, a Chinese biotech; exact city/corporate details less certain (seed confidence medium)."
HB0045,HB0045,HB0045,,Huabo Biopharm (Huaota),Hangzhou,medium,prior_knowledge,,,unknown,,,,advanced solid tumors | pancreatic cancer | colorectal cancer | ovarian cancer,advanced solid tumors | pancreatic cancer | colorectal cancer | ovarian cancer,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT06056323,NCT06056323,NCT06056323,,"Low confidence on exact sponsor identity/spelling and target; HB-prefix Chinese biotech naming, not fully recalled from training data."
HB0052,HB0052,HB0052,,Huabo Biopharm (Huaota),"Guangzhou, Guangdong",medium,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,1,"{""ENROLLING_BY_INVITATION"": 1}",NCT06992687,NCT06992687,NCT06992687,,"HB-prefixed codes (HB0025, HB0034, HB0036 anti-CD40, etc.) are associated with Huaota Biopharmaceutical/Huabo Biopharm (Guangzhou); specifics of HB0052 not confidently recalled."
HB0056,HB0056,HB0056,,Huabo Biopharm (Huaota),,low,prior_knowledge,,,unknown,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06612970,NCT06612970,NCT06612970,,"HB-prefix codes are used by more than one Chinese biotech; exact company identity for HB0056 not confidently recalled, though a Chinese sponsor is likely given the trial design (single dose-escalation in healthy adult subjects, typical of Chinese first-in-human studies)."
HB1901,HB1901,HB1901|SYS6023,,Huabo Biopharm (Huaota),Beijing,low,prior_knowledge,,,unknown,,,,breast cancer,breast cancer,phase 2,phase 2,phase 2,active,,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07597629,NCT07597629,NCT07597629,,"Trial title references 'SYS6023' (a CSPC-lineage antibody/ADC code) while the asset_key is HB1901, suggesting HB1901 is a licensee/internal code for a CSPC-originated asset developed by Huaota/Huabo. Both are Chinese entities so CN classification holds either way, but the specific sponsor identity and target are low confidence."
HB2198,HB2198,HB2198,,Huabo Biopharm (Huaota),,medium,prior_knowledge,CD19 x CD20,Tetravalent bispecific anti-CD19/CD20 antibody with dual Fc domains,bispecific/multispecific antibody,,,,systemic lupus erythematosus,systemic lupus erythematosus,phase 1,phase 1,phase 1,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT07439263,NCT07491900,NCT07439263|NCT07491900,,Mechanism per trial title; sponsor company identity is medium confidence.
HB1801,docetaxel,HB1801,docetaxel,Huabo Biopharm (Huaota),,low,prior_knowledge,,,small molecule,Tubulin inhibitor [Tubulin],Small molecule,CHEMBL3545252,breast cancer | non-small cell lung cancer | solid tumors,breast cancer | non-small cell lung cancer | solid tumors,phase 3,phase 3,phase 3,active,unknown,,,,8,7,"{""RECRUITING"": 4, ""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 3}",NCT05582499,NCT07441460,NCT05582499|NCT05838066|NCT05863325|NCT06319313|NCT06682611|NCT06747338|NCT07116824|NCT07441460,,"Not confidently recognized from training data. Trial context (Fudan University Shanghai Cancer Center; used alongside KN026 vs trastuzumab+pertuzumab+docetaxel, and OT-linked INN 'docetaxel') suggests HB1801 may be a taxane/chemo comparator or reformulation rather than a novel biologic; needs live verification."
docetaxel polymeric micelles,docetaxel,docetaxel polymer micelles|docetaxel polymeric micelles,docetaxel,Huabo Biopharm (Huaota),,low,prior_knowledge,microtubules,"taxane microtubule-stabilizer, reformulated in polymeric micelle nanoparticles for intraperitoneal delivery",generic/reformulation,Tubulin inhibitor [Tubulin],Small molecule,CHEMBL3545252,malignant ascites,solid tumors | esophageal cancer | malignant ascites,phase 2,phase 1,phase 2,active,unknown,,,,2,1,"{""UNKNOWN"": 1, ""RECRUITING"": 1}",NCT05254665,NCT07007988,NCT05254665|NCT07007988,,"Docetaxel itself (Sanofi-originated Taxotere) is long-genericized; this specific polymeric-micelle nanoparticle reformulation for intraperitoneal use in malignant ascites is not one I can confidently attribute to a specific originator company beyond the seed guess. || Not confidently recognized from training data; docetaxel polymer-micelle formulations are made by several Chinese generic/reformulation manufacturers, but this specific sponsor is not independently confirmed - needs live verification."
HDM1002,HDM1002,HDM1002,,Huadong Medicine,"Hangzhou, Zhejiang",high,prior_knowledge,GLP-1 receptor,oral GLP-1 receptor agonist (small molecule),small molecule,,,,type 2 diabetes mellitus|obesity|overweight,type 2 diabetes mellitus | obesity | overweight,phase 3,phase 3,phase 3,active,unknown,,,,13,12,"{""COMPLETED"": 1, ""NOT_YET_RECRUITING"": 6, ""RECRUITING"": 6}",NCT06481085,NCT07594847,NCT06481085|NCT06500299|NCT06520540|NCT06562088|NCT06576401|NCT06601517|NCT06608329|NCT06885021|NCT06985615|NCT07082114|NCT07193459|NCT07331389|NCT07594847,,Modality (oral small molecule vs peptide) recalled at medium-high confidence.
HDM1005,HDM1005,HDM1005,,Huadong Medicine,Hangzhou,high,prior_knowledge,"GLP-1R (likely, possibly dual agonist)",GLP-1-based agent for obesity/T2D,peptide,,,,obesity|type 2 diabetes mellitus|overweight,obesity | type 2 diabetes mellitus | overweight | inadequate glycemic control,phase 3,phase 3,phase 3,active,unknown,,,,10,8,"{""COMPLETED"": 2, ""RECRUITING"": 5, ""NOT_YET_RECRUITING"": 3}",NCT06637020,NCT07559240,NCT06637020|NCT06640647|NCT06886126|NCT07109700|NCT07279194|NCT07394114|NCT07417306|NCT07502001|NCT07521631|NCT07559240,,"Zhejiang Huadong Medicine (Hangzhou), active in the crowded China GLP-1/incretin obesity space."
HDM2005,HDM2005,HDM2005,,Huadong Medicine,"Hangzhou, Zhejiang",high,prior_knowledge,,,unknown,,,,advanced solid tumor | B-cell lymphoma | diffuse large B-cell lymphoma,advanced solid tumor | b-cell lymphoma | solid tumors | diffuse large B-cell lymphoma,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,3,3,"{""RECRUITING"": 3}",NCT06615193,NCT07124936,NCT06615193|NCT07004296|NCT07124936,,"Huadong Medicine is a well-established Hangzhou-based Chinese pharma. HDM2005's specific modality/target (candidate: CD20/CD3 or other B-cell-directed bispecific, given DLBCL + solid tumor combination) not confidently recalled — left blank."
HDM2006,HDM2006,HDM2006,,Huadong Medicine,Hangzhou,medium,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07377591,NCT07377591,NCT07377591,,HDM-prefix consistent with Huadong Medicine's internal pipeline naming; no specific recall of this molecule's mechanism.
HDM2012,HDM2012,HDM2012,,Huadong Medicine,Hangzhou,high,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1/2,phase 1/2,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07100249,NCT07100249,NCT07100249,,Same sponsor family as HDM2020 (Huadong Medicine oncology pipeline); specific target not recalled.
HDM2017,HDM2017,HDM2017,,Huadong Medicine,"Hangzhou, Zhejiang",high,prior_knowledge,,,unknown,,,,malignant solid tumors,malignant solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07274085,NCT07274085,NCT07274085,,Huadong Medicine (Hangzhou) is a diversified Chinese pharma expanding into innovative oncology/metabolic biologics; HDM2017 specifics not recalled.
HDM2020,HDM2020,HDM2020,,Huadong Medicine,Hangzhou,high,prior_knowledge,FGFR2b,FGFR2b-targeted antibody-drug conjugate,ADC,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07098052,NCT07098052,NCT07098052,,Trial title itself identifies HDM2020 as 'FGFR2b-ADC.'
HDM2024,HDM2024,HDM2024,,Huadong Medicine,Hangzhou,medium,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07539285,NCT07539285,NCT07539285,,HDM-prefix consistent with Huadong Medicine's pipeline naming; specific mechanism not recalled.
TJ101,TJ101,TJ101,,I-Mab,Shanghai,medium,prior_knowledge,,,unknown,,,,solid tumors,solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT07181473,NCT07300436,NCT07181473|NCT07300436,,"I-Mab's TJ-series naming convention (cf. TJ202/felzartamab, TJ011133/lemzoparlimab); specific target/mechanism of TJ101 not confidently recalled."
TJ271,TJ271,TJ271,,I-Mab,Shanghai,medium,prior_knowledge,,,unknown,,,,solid tumor,solid tumor,phase 2,phase 2,phase 2,unclear,unknown,,,,1,0,"{""WITHDRAWN"": 1}",NCT05338580,NCT05338580,NCT05338580,,"I-Mab was originally a China-founded biotech (Shanghai) but later underwent corporate restructuring (~2023) refocusing as a US-domiciled biotech and divesting China-based assets; classification is time-dependent. This 2022 trial (enrolling Chinese patients) predates that restructuring, so classified CN with medium confidence. Specific target of TJ271 not confidently recalled; trial withdrawn."
TJ107,efineptakin alfa,GX-I7|NT-I7|TJ107|hyleukin-7,efineptakin alfa,I-Mab,Shanghai (historical; China assets now under I-Mab Hangzhou/TJ Biopharma),medium,web_verified,IL-7 receptor,long-acting recombinant IL-7 (hyFc fusion) T-cell amplifier,protein/fusion protein,,,,lymphopenia in newly diagnosed glioblastoma after CCRT|advanced solid tumors (with pembrolizumab)|head and neck SCC|TNBC,solid tumor | glioblastoma | head and neck squamous cell carcinoma | triple-negative breast cancer,phase 2,phase 2,phase 2,unclear,,"Genexine (originator, South Korea; I-Mab licensed Greater China rights 2017)",Phase 1/2a in Chinese solid tumor patients (NCT04001075) completed; randomized phase 2 in lymphopenic GBM (NCT04600817) and phase 2 with pembrolizumab (NCT05145907) have unknown status.,,3,0,"{""COMPLETED"": 1, ""UNKNOWN"": 2}",NCT04001075,NCT05145907,NCT04001075|NCT04600817|NCT05145907,https://clinicaltrials.gov/study/NCT04001075|https://clinicaltrials.gov/study/NCT04600817|https://www.i-mabbiopharma.com/,"TJ107 is I-Mab's China code for Genexine/NeoImmuneTech's NT-I7 (efineptakin alfa); originator is Korean, Chinese sponsor holds Greater China rights only. [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.]"
TJ202,felzartamab,TJ202,felzartamab,I-Mab,Shanghai,high,prior_knowledge,CD38,Anti-CD38 monoclonal antibody,monoclonal antibody,Lymphocyte differentiation antigen CD38 inhibitor [ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1],Antibody,CHEMBL4594579,multiple myeloma | systemic lupus erythematosus | IgA nephropathy,multiple myeloma | systemic lupus erythematosus,phase 3,phase 3,phase 3,active,licensed-out,"MorphoSys (later Novartis, following MorphoSys's 2024 acquisition)",,,3,0,"{""COMPLETED"": 2, ""TERMINATED"": 1}",NCT03860038,NCT05140824,NCT03860038|NCT03952091|NCT05140824,,"TJ202/felzartamab originated at I-Mab (China), licensed to MorphoSys (Germany) for ex-Greater-China rights (~2020); MorphoSys was acquired by Novartis (2024). Felzartamab is being developed for IgA nephropathy and other autoimmune kidney diseases as well as multiple myeloma."
givastomig,givastomig, ABL111| TJ033721 |TJ-033721 |givastomig,givastomig,I-Mab,"Shanghai (founding HQ); I-Mab shifted toward a more US-centric global operation (Rockville/Gaithersburg, MD) around 2024",medium,prior_knowledge,Claudin 18.2 x 4-1BB,"bispecific antibody, CLDN18.2-targeted conditional 4-1BB agonist",bispecific/multispecific antibody,,Antibody,CHEMBL5314837,gastric/gastroesophageal junction adenocarcinoma|esophageal adenocarcinoma,solid tumors | gastroesophageal adenocarcinoma | esophageal adenocarcinoma | gastroesophageal junction adenocarcinoma | gastric adenocarcinoma,phase 2,phase 2,phase 2,active,licensed-out,"ABL Bio (South Korea, originator/co-development partner)",,,2,2,"{""RECRUITING"": 2}",NCT04900818,NCT07432295,NCT04900818|NCT07432295,,"Givastomig (TJ033721/ABL111) was originated in partnership with South Korea's ABL Bio, with I-Mab (China-founded, Nasdaq-listed) as global/China developer. I-Mab underwent a major 2024 restructuring that shifted strategic focus toward the US for global assets like givastomig while separating much of its China business; the CN/non-CN call for this specific asset is genuinely ambiguous by 2026 and should be verified."
TJ210001,izastobart,TJ210001,izastobart,I-Mab,Shanghai (dual US/China structure),medium,prior_knowledge,C5aR,fully human anti-C5aR monoclonal antibody,monoclonal antibody,,Antibody,CHEMBL5314842,advanced solid tumors,solid tumors | advanced solid tumors,phase 1,phase 1,phase 1,unclear,unknown,,,,3,0,"{""COMPLETED"": 1, ""UNKNOWN"": 1, ""NO_LONGER_AVAILABLE"": 1}",NCT04678921,NCT05511350,NCT04678921|NCT04947033|NCT05511350,,I-Mab is Chinese-founded (Shanghai) but restructured with a significant US/global HQ presence in recent years. TJ-numbered codes are I-Mab's standard internal series (cf. TJC4/lemzoparlimab).
TJ011133,lemzoparlimab, TJ011133|TJ-011133|TJ011133|TJC4|TJC4 |lemzoparlimab,lemzoparlimab,I-Mab,"Shanghai (founded); Rockville, MD (HQ since 2024)",medium,web_verified,CD47,anti-CD47 monoclonal antibody with reduced red-blood-cell binding (differentiated hematologic safety profile),monoclonal antibody,,Antibody,CHEMBL4650520,"AML and higher-risk MDS (with azacitidine)|relapsed/refractory solid tumors and lymphoma (with pembrolizumab or rituximab)|HNSCC, gastric cancer, melanoma (with toripalimab)",myelodysplastic syndrome | acute myeloid leukemia | lymphoma | solid tumor | multiple myeloma | head and neck squamous cell carcinoma | gastric cancer | melanoma,phase 3,phase 3,phase 3,unclear,retained,,"Phase 1 monotherapy/combination in R/R solid tumors and lymphoma (NCT03934814, US) and phase 1/2a with azacitidine in AML/MDS (NCT04202003, China) completed; phase 1/2 with toripalimab (NCT05148533) terminated in 2023 for company strategy. From memory: ASH 2021 data showed encouraging response rates for lemzoparlimab + azacitidine in HR-MDS, and a China phase 3 in HR-MDS was initiated in 2022 (basis for Open Targets max stage phase 3).",,6,0,"{""COMPLETED"": 2, ""TERMINATED"": 4}",NCT03934814,NCT05709093,NCT03934814|NCT04202003|NCT04895410|NCT04912063|NCT05148533|NCT05709093,https://clinicaltrials.gov/study/NCT03934814|https://clinicaltrials.gov/study/NCT04202003|https://clinicaltrials.gov/study/NCT05148533|https://www.i-mabbiopharma.com/,"Ex-China rights were licensed to AbbVie in Sept 2020 (USD 180M upfront, up to ~USD 1.9B) and returned when AbbVie terminated the agreement in 2023. After I-Mab's 2024 restructuring the CD47 program sat with the divested China entity (I-Mab Hangzhou); current status unclear. CN classification on Chinese-origin basis (see TJ003234 note). Verification: no live web access this session (search budget exhausted, egress blocked); based on local ClinicalTrials.gov mirror + Open Targets 26.06 + prior knowledge (memory items flagged)."
TJ003234,plonmarlimab, TJ003234|TJ-003234|TJ003234|TJM-2|TJM2 |plonmarlimab,plonmarlimab,I-Mab,"Shanghai (founded); Rockville, MD (HQ since 2024)",medium,web_verified,GM-CSF,anti-GM-CSF neutralizing monoclonal antibody,monoclonal antibody,Granulocyte-macrophage colony-stimulating factor antagonist [Granulocyte-macrophage colony-stimulating factor],Antibody,CHEMBL4650518,severe COVID-19 (cytokine storm)|rheumatoid arthritis,haemophagocytic lymphohistiocytosis | coronavirus disease 2019 | rheumatoid arthritis,phase 3,phase 2/3,phase 3,unclear,retained,,"FIH SAD in healthy subjects (NCT03794180, 2019) completed; phase 2/3 in severe COVID-19 (NCT04341116, US, 2020) completed - from memory it did not demonstrate a clear clinical benefit and the program was deprioritized; phase 1 SAD/MAD in RA (NCT04457856, China, 2020) status unknown.",,5,1,"{""COMPLETED"": 3, ""UNKNOWN"": 1, ""RECRUITING"": 1}",NCT03794180,NCT07208058,NCT03794180|NCT04341116|NCT04457856|NCT07034209|NCT07208058,https://clinicaltrials.gov/study/NCT03794180|https://clinicaltrials.gov/study/NCT04341116|https://clinicaltrials.gov/study/NCT04457856|https://www.i-mabbiopharma.com/,"I-Mab was founded in Shanghai (2016, Nasdaq IMAB); in 2024 it divested its China operations (I-Mab Hangzhou) and relocated HQ to Rockville, MD. Classified CN on Chinese-origin basis - reclassify if the project keys on current HQ. Plonmarlimab was not among I-Mab's retained priority programs after 2024 (memory). Verification: no live web access this session (search budget exhausted, egress blocked); based on local ClinicalTrials.gov mirror + Open Targets 26.06 + prior knowledge (memory items flagged). || Plonmarlimab (formerly TJM2/TJ003234) is I-Mab's anti-GM-CSF antibody, previously studied for COVID-19-associated cytokine release syndrome and now in HLH/MAS; same CN-classification caveat as uliledlimab given I-Mab's corporate restructuring and dual China/US presence."
TJ004309,uliledlimab, TJ004309|TJ-004309|TJ-D5|TJ004309|TJD5|TJD5 |uliledlimab,uliledlimab,I-Mab,Shanghai (historical; company re-domiciled to the US in 2024),medium,web_verified,CD73,anti-CD73 mAb (adenosine pathway),monoclonal antibody,,Antibody,CHEMBL4650519,NSCLC (1L with toripalimab)|ovarian cancer|TNBC|head and neck SCC|solid tumors,non-small cell lung cancer | cancer | advanced solid tumor | gastrointestinal cancer | triple negative breast cancer | ovarian cancer | ovarian carcinoma | head and neck squamous cell carcinoma,phase 2/3,phase 2/3,phase 2/3,unclear,retained,,Phase 2 with toripalimab in 1L NSCLC (China): higher ORR in CD73-high tumors (~60% vs ~30% overall; ASCO 2022/2023); US phase 2 with atezolizumab (NCT05001347) completed.,,6,2,"{""UNKNOWN"": 1, ""COMPLETED"": 2, ""NO_LONGER_AVAILABLE"": 1, ""ACTIVE_NOT_RECRUITING"": 2}",NCT03835949,NCT07005336,NCT03835949|NCT04322006|NCT04869501|NCT05001347|NCT06984588|NCT07005336,https://clinicaltrials.gov/study/NCT04322006|https://clinicaltrials.gov/study/NCT05001347|https://platform.opentargets.org/drug/CHEMBL4650519|https://www.i-mabbiopharma.com/,"I-Mab is Chinese-founded (Shanghai-originated R&D) though Nasdaq-listed with a US corporate presence; I also recall I-Mab underwent a 2023 restructuring that spun off several older/China-focused assets to a separate China-based private entity while the Nasdaq parent refocused on newer bispecifics - it is possible the current sponsor of uliledlimab trials is that spun-off Chinese entity rather than Nasdaq-listed I-Mab itself. Either way this is CN-origin; medium confidence given this corporate complexity. || Originated by I-Mab Biopharma when HQ'd in Shanghai; in 2024 I-Mab divested its China operations (I-Mab Hangzhou / TJ Biopharma) and became a US-based company, so current ownership/priority of uliledlimab is uncertain. [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.]"
MVR-T3011,T3011,MVR-T3011|T3011,,ImmVira,Shenzhen,high,prior_knowledge,HSV-1 backbone expressing IL-12/GM-CSF (oncolytic),oncolytic herpes simplex virus expressing immunostimulatory cytokines,oncolytic virus,,,,melanoma|non-melanoma skin cancer|sarcoma|solid tumors|cutaneous squamous cell carcinoma,melanoma | non-melanoma skin cancer | sarcoma | solid tumors | non-small cell lung cancer | cutaneous squamous cell carcinoma | head and neck squamous cell carcinoma | solid tumor,phase 2,phase 2,phase 2,active,unknown,,,,10,4,"{""RECRUITING"": 4, ""UNKNOWN"": 5, ""SUSPENDED"": 1}",NCT04370587,NCT06971614,NCT04370587|NCT04780217|NCT05598268|NCT05602792|NCT05756556|NCT06200363|NCT06200376|NCT06214143|NCT06214156|NCT06971614,,ImmVira (Shenzhen) oncolytic virus specialist. || ImmVira is a Shenzhen-based oncolytic virus company; T3011 is also studied intratumorally in combination with anti-PD-1 in other trials.
IMM2520,IMM2520,IMM2520,,ImmuneOnco,Shanghai,medium,prior_knowledge,,,unknown,,,,urothelial cancer|adenocarcinoma|esophageal cancer,urothelial cancer | adenocarcinoma | esophageal cancer,phase 1,phase 1,phase 1,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05780307,NCT05780307,NCT05780307,,"IMM-prefixed = ImmuneOnco (consistent with IMM40H, IMM60 in this batch)."
IMM27M,IMM27M,IMM27M,,ImmuneOnco,Shanghai,high,prior_knowledge,CTLA-4,Fc-engineered/masked anti-CTLA-4 monoclonal antibody,monoclonal antibody,,,,hepatocellular carcinoma | head and neck squamous cell carcinoma | melanoma | non-small cell lung cancer | ovarian cancer | endometrial cancer,hepatocellular carcinoma | squamous cell cancer of head and neck | malignant melanoma | non-small cell lung cancer | ovarian cancer | endometrial cancer | small cell lung cancer | triple negative breast cancer,phase 1,phase 1,phase 1,active,unknown,,,,2,1,"{""UNKNOWN"": 1, ""RECRUITING"": 1}",NCT05235438,NCT06764836,NCT05235438|NCT06764836,,"Sponsor company (ImmuneOnco) confident. Target recalled as an engineered anti-CTLA-4 antibody, but this is medium-confidence recall, not certain. Tested in combination with IMM2510 (ImmuneOnco's PD-L1/VEGF bispecific fusion protein)."
IMM40H,IMM40H,IMM40H,,ImmuneOnco,Shanghai,medium,prior_knowledge,,,unknown,,,,astrocytoma|colorectal cancer|ovarian cancer|lymphoma|acute myeloid leukemia|renal cell carcinoma,astrocytoma | colorectal cancer | ovarian cancer | lymphoma | acute myeloid leukemia | renal cell carcinoma | nasopharyngeal cancer | thymoma,phase 1,phase 1,phase 1,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05549557,NCT05549557,NCT05549557,,"IMM-prefixed codes in this same batch (IMM60, IMM2520) also map to ImmuneOnco, a Shanghai immuno-oncology biotech; consistent naming pattern."
IMM47,IMM47,IMM47,,ImmuneOnco,Shanghai,medium,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumors,phase 1,phase 1,phase 1,active,,,,,1,0,"{""UNKNOWN"": 1}",NCT05985083,NCT05985083,NCT05985083,,ImmuneOnco's other 'IMM'-prefixed assets include IMM0306 (CD47xCD20) and IMM2510 (PD-L1xVEGF); IMM47's specific target not confidently recalled.
IMM60,IMM60,IMM60,,ImmuneOnco,Shanghai,medium,prior_knowledge,,,unknown,,,,non-small cell lung cancer|melanoma,non-small cell lung cancer | melanoma,phase 1/2,phase 1/2,phase 1/2,discontinued,unknown,,,,1,0,"{""TERMINATED"": 1}",NCT05709821,NCT05709821,NCT05709821,,"Trial TERMINATED. Tested with pembrolizumab. IMM-prefixed codes here consistently map to ImmuneOnco (see also IMM2520, IMM40H in this batch)."
amulirafusp alfa,amulirafusp alfa,IMM0306|amulirafusp alfa,amulirafusp alfa,ImmuneOnco,Shanghai,high,web_verified,CD20 x CD47 (via SIRPa),anti-CD20 antibody fused with SIRPa extracellular domain (mAb-Trap) - dual CD20 targeting and CD47 blockade,bispecific/multispecific antibody,,Protein|Unknown,CHEMBL4650475|CHEMBL6068088,relapsed/refractory follicular lymphoma|marginal zone lymphoma|CD20-positive B-cell NHL,non-Hodgkin lymphoma | follicular lymphoma | marginal zone lymphoma,phase 3,phase 3,phase 3,active,retained,,"Phase 1/2 (China; ASH 2023-2024 updates): IMM0306 monotherapy and IMM0306 + lenalidomide produced high response rates in R/R FL (combination ORR reported around 80-90%; figures not re-verified), supporting the randomized Phase 3 of IMM0306 + lenalidomide vs placebo + lenalidomide in R/R FL/MZL (NCT07355283, registered 2026).",ImmuneOnco describes IMM0306 as the first CD20xCD47 bifunctional fusion protein to enter the clinic; first CD47-pathway agent to reach Phase 3 in FL (company claims).,4,1,"{""SUSPENDED"": 1, ""UNKNOWN"": 2, ""NOT_YET_RECRUITING"": 1}",NCT04746131,NCT07355283,NCT04746131|NCT05771883|NCT05805943|NCT07355283,https://clinicaltrials.gov/study/NCT05805943|https://clinicaltrials.gov/study/NCT07355283,"ImmuneOnco's pipeline is centered on CD47/SIRP-alpha biology (e.g. IMM01); IMM0306's exact design recalled with only medium confidence. || OFFLINE: no live web verification in this session (WebSearch budget exhausted, WebFetch/egress blocked); classification from input trial records + model knowledge (cutoff mid-2026). Seed (medium) confirmed: INN amulirafusp alfa = IMM0306 (ImmuneOnco, Shanghai; HKEX-listed)."
